filename,iou,dice,precision,recall,accuracy
t029,0.08663687006086065,0.15945873446390288,0.08837716400155664,0.8148035333511581,0.9633753246753122
t051,0.02132236042270146,0.04175441809357162,0.02141900937081157,0.825339366508368,0.9456363636363514
t023,0.08644438722963232,0.15913265003846228,0.09416301489917821,0.5132811007060706,0.9631350649350524
t080,0.15606338821421203,0.2699910572469308,0.16201842210650189,0.8093790012797619,0.9289701298701178
t076,0.24642261007661265,0.39540779842154183,0.253831001902939,0.8941024284113046,0.9396090909090787
t053,0.0106982237768567,0.021169966514591732,0.010772608755315227,0.6077419354760292,0.9434350649350527
t081,0.0064127105666145975,0.01274369947693569,0.006416190506590734,0.922018348602706,0.919109090909079
t088,0.20379295147919368,0.3385847229438875,0.2128275554895386,0.8276081057670875,0.927264935064923
t020,0.16180014174338703,0.278533520404966,0.1704621817366645,0.7609999999987317,0.9692805194805069
t021,0.02518366770273199,0.049130060292834066,0.025797814603073378,0.5140591204000429,0.9641571428571303
t062,0.14922484297611924,0.25969651437341945,0.15452026801325242,0.8132368148905756,0.941772727272715
t022,0.03515920218183052,0.06793003840901884,0.038573849093320386,0.28427205100880903,0.9618662337662213
t077,0.20721324021808618,0.34329186147867724,0.21548665229643252,0.8436769670210051,0.9354259740259618
t040,0.09073851476147331,0.16637995914413334,0.09099729507230067,0.9696115288190176,0.9597220779220654
t054,0.12991009605870577,0.22994766842397724,0.13213790636315967,0.8851280515188181,0.9485935064934942
t012,0.020730971467967964,0.04061985390362681,0.02107984924181739,0.5560693641554212,0.9704922077921951
t025,0.080514643643108,0.14903017579038352,0.08177160345239787,0.8396892655337582,0.9647311688311563
t044,0.14916196637168885,0.25960129335405346,0.15199803873494266,0.8888180949332768,0.958663636363624
t038,0.1509587064975203,0.26231819724775773,0.15301894839451868,0.9181136903657136,0.9633103896103771
t013,0.6902284223071973,0.8167279797188844,0.9427087916919199,0.7204492719505261,0.9875129870129742
t015,0.08916013256806678,0.16372272524856624,0.09082674571801266,0.829323308267559,0.9707324675324549
t050,0.007248968691130208,0.014393598636392512,0.007296116737866056,0.5286956521647184,0.9459311688311566
t079,0.17317251803715378,0.295220891002272,0.17968825793096083,0.8268601190470037,0.931090909090897
t052,0.7184328577730699,0.8361488835869823,0.9139963512183857,0.7705215419499615,0.9801103896103769
t055,0.16521459227464266,0.28357796644500205,0.17009102156235198,0.8521306032087966,0.9494792207792084
t014,0.022390279134969455,0.04379986702125839,0.022850453106697807,0.526473526468267,0.9701168831168705
t078,0.007739037709631347,0.015359209914543896,0.0077531927291549585,0.809121621607954,0.9202402597402478
t039,0.10247721430237718,0.1859035506093837,0.1063739462671762,0.7366652666931192,0.9600987012986888
