filename,iou,dice,precision,recall,accuracy
t029,0.08880851918823628,0.16312972873218826,0.09072559953470948,0.8077977459615967,0.9646623376623251
t051,0.022613000541468527,0.04422592032273217,0.022746725457133254,0.7936651583638583,0.9507714285714162
t023,0.09017928819906001,0.16543937162488787,0.0985416133630255,0.5151920504480887,0.9646753246753121
t080,0.15530832169225117,0.2688603877876713,0.16391399736723758,0.7473591549289793,0.9340350649350528
t076,0.22952395937129955,0.3733541874021935,0.24621645443800122,0.7719762450751032,0.9427636363636241
t053,0.011733764920086048,0.02319536092780864,0.011826778477299257,0.5987096774116295,0.9492467532467409
t081,0.006764972854474856,0.013439031028849103,0.006769726468772406,0.9059633027315146,0.9246831168831049
t088,0.1867657274017416,0.31474742333626227,0.2018639116028984,0.7140465331096852,0.9300597402597282
t020,0.17075299832997923,0.2916977339772776,0.18106813699835753,0.7498333333320836,0.9716246753246627
t021,0.02524851646066249,0.04925345622118,0.025953842567399972,0.481614996391625,0.9665077922077796
t062,0.13711465261217695,0.24116240573841435,0.14666666666663386,0.6779731127190507,0.9464181818181695
t022,0.04001910545527617,0.07695840440884498,0.043899700598785965,0.31163655685358227,0.9634571428571304
t077,0.20151707133313904,0.3354377164355168,0.21489217959716347,0.764022331861358,0.9394376623376501
t040,0.09293053212694588,0.17005752771147187,0.09339456893625947,0.949248120297778,0.9615909090908966
t054,0.10202301235496983,0.1851558655512131,0.10800758823820379,0.6480455294284139,0.9505389610389486
t012,0.02123791788595316,0.0415924977206436,0.021607722843728975,0.5537572254271241,0.9713311688311562
t025,0.08231364275665179,0.15210681914162888,0.08375970517725723,0.8266242937823919,0.9661051948051822
t044,0.1344291574804972,0.23699876998764158,0.14014313976488418,0.7672825740669524,0.9597194805194681
t038,0.1532606652884316,0.2657866862217155,0.15608651269613497,0.894352038017009,0.9648922077921952
t013,0.6824447334198042,0.8112536713555397,0.9535316829430145,0.7059219154586186,0.9873142857142729
t015,0.09095454356064707,0.16674304919028157,0.09279884373401938,0.8206766917262381,0.9716649350649225
t050,0.007640929735504238,0.015165977304057917,0.0077003850192488895,0.4973913043391758,0.9517610389610266
t079,0.1652701962801073,0.283659870144623,0.1753944217495113,0.7411458333327818,0.9346623376623255
t052,0.6883485118766899,0.8154104523260468,0.9352007755495344,0.7228236222023617,0.9784454545454419
t055,0.17979764471715762,0.30479403908330727,0.18618117577775392,0.839845047038362,0.9550454545454421
t014,0.02303067810095348,0.045024413429527274,0.023529943094560773,0.5204795204743209,0.97129740259739
t078,0.008317580340263152,0.01649793775777733,0.008337092844896086,0.7804054053922229,0.9284636363636243
t039,0.1044204769861448,0.18909551056332827,0.10880025324466325,0.7217555648871866,0.9617168831168706
