filename,iou,dice,precision,recall,accuracy
t012,0.022278504760554253,0.04358597907871004,0.022693612345314272,0.5491329479705302,0.9729272727272601
t013,0.6337694005995209,0.7758370310607552,0.9692586806425594,0.6467700171501339,0.985566233766221
t014,0.02343862340026677,0.04580367178716476,0.024028303277468414,0.48851148850660825,0.973540259740247
t015,0.08996617812848254,0.1650806785270314,0.0927475592747128,0.7499999999971805,0.9737922077921951
t020,0.15731911415554534,0.271868168824526,0.17029702970289853,0.6736666666655439,0.9718818181818055
t021,0.023583594711548184,0.04608044684067876,0.024350250061480547,0.42826243691111565,0.9680610389610264
t022,0.035294965065174926,0.06818339942946212,0.03922824433590616,0.2603613177463859,0.9652129870129744
t023,0.08001414927482135,0.14817240927546568,0.08941064864220348,0.43225683164450174,0.9662233766233641
t025,0.08408160198366305,0.15512042973482754,0.08600084540595396,0.7902542372853452,0.9683389610389485
t029,0.09054183351639301,0.16604926236427955,0.09293950747513988,0.7782515991447511,0.9666701298701174
t038,0.15292050653048037,0.26527502228348565,0.15739729766611252,0.8431730944967224,0.9668142857142732
t039,0.10050626338673962,0.1826545958537989,0.10624721259730822,0.6503569928587771,0.9640038961038836
t040,0.077231490605118,0.14338884683316194,0.07972081930412467,0.7120927318273431,0.9647298701298576
t044,0.13457271364313808,0.23722184047776385,0.14220532319387127,0.7148773494732162,0.9625168831168706
t050,0.005972672975698592,0.011874423900663702,0.006031230205721124,0.3808695652107675,0.9526649350649227
t051,0.021176534551182197,0.041474777053096906,0.02136588041688937,0.704977375559231,0.95323766233765
t052,0.6581546888279048,0.7938399152531815,0.9398532743551247,0.6870945479639777,0.9764948051947925
t053,0.011964553367164017,0.023646190624669047,0.012066085019488169,0.587096774185973,0.9512025974025851
t054,0.11736229557536938,0.21007026286838396,0.12355426458935212,0.7007638160840186,0.9542999999999876
t055,0.14600735048442892,0.2548104956267691,0.15693215339229014,0.6771444382947679,0.9535272727272603
t062,0.1437369882026059,0.2513462267728003,0.15388901787783751,0.6854188210954648,0.9487220779220655
t076,0.23295831731941008,0.3778851467191326,0.2489266380436347,0.784088904568246,0.9429779220779099
t077,0.1856309012875218,0.31313438454739684,0.2015132596581745,0.7019605297320812,0.9383935064934943
t078,0.007930652895609014,0.01573650503201908,0.00795441932738763,0.7263513513390819,0.9301428571428451
t079,0.16787264833571705,0.2874845105327963,0.17826382187910042,0.7422619047613525,0.9357792207792086
t080,0.13060503557560352,0.23103565164843098,0.1415951585222398,0.6272407170289475,0.9322402597402476
t081,0.0064016520392348305,0.012721863137373429,0.006408710333182923,0.8532110091547429,0.9250155844155724
t088,0.20178471666487463,0.33580842536399735,0.2146068859198011,0.7715489867786088,0.9313441558441438
