filename,iou,dice,precision,recall,accuracy
t029,0.08704433334434095,0.16014863547753408,0.08897086195807338,0.8007919585720353,0.9641896103895978
t051,0.0209866241877112,0.04111047821886597,0.021133574374899138,0.7511312217126596,0.949715584415572
t023,0.09034677896950373,0.16572118286054144,0.0983982513347553,0.5247467991581793,0.964093506493494
t080,0.1566082054493961,0.2708059733823979,0.16297563757839764,0.8003361075537769,0.9300532467532346
t076,0.2462426395769327,0.3951760784890585,0.25582281990845424,0.8679955312513271,0.9413155844155722
t053,0.01121932588560794,0.022189698314521934,0.01130160867578539,0.6064516128954006,0.9462051948051825
t081,0.005990893841360174,0.011910433539778957,0.005996737774649631,0.8600917430995392,0.9191948051947932
t088,0.19685444666854493,0.3289530271897156,0.20739000105439206,0.7948732752145979,0.9270493506493386
t020,0.15768927727234522,0.27242072699140835,0.1672554605887304,0.7338333333321103,0.9694558441558315
t021,0.02685408203615528,0.05230359893570498,0.02748647753614178,0.5385724585397363,0.9648441558441433
t062,0.1409813542688634,0.24712297662252988,0.1482161649092817,0.7428128231636578,0.943159740259728
t022,0.0353428963118884,0.06827283296729483,0.03886029411763277,0.28081827842645907,0.962532467532455
t077,0.2003160025674879,0.33377211024265274,0.21157389702044094,0.7901194494931251,0.9368987012986891
t040,0.08966505135470128,0.16457360221515271,0.09035349037188957,0.9216791979921001,0.9612090909090784
t054,0.1308113444623652,0.2313583872375429,0.13334553189539733,0.8731466227334534,0.9496909090908967
t012,0.02117155183915795,0.04146522061063571,0.021544310672571038,0.5502890173346787,0.9714194805194679
t025,0.07897460667952008,0.14638825824188711,0.08048240216585897,0.8082627118615527,0.9653311688311563
t044,0.12970480214284105,0.22962600831087032,0.1356260106259715,0.7481682064339787,0.9590701298701174
t038,0.1541710665258233,0.26715462031099857,0.1566375311602169,0.9073295558382246,0.9646311688311563
t013,0.678885917421995,0.8087338280428905,0.9574536589848869,0.7000033628137673,0.9872129870129742
t015,0.0906294767000545,0.16619663898004008,0.09261571582342622,0.8086466165383134,0.9719701298701172
t050,0.006603301650823762,0.01311996819401324,0.006655070710124618,0.4591304347746238,0.9484207792207668
t079,0.18416871298567028,0.31105147596970656,0.19016605349504656,0.8537946428565075,0.9339844155844035
t052,0.6945489071749089,0.8197448940353523,0.9255942043365937,0.7356206250614739,0.978692207792195
t055,0.169097394680957,0.28927854163442585,0.17520877681345173,0.8289983397887891,0.9522025974025851
t014,0.022570284658356032,0.0441442216676516,0.023065509644340152,0.5124875124823928,0.9711480519480393
t078,0.007704785077046549,0.015291750503015546,0.007722530822380484,0.7702702702572589,0.9237298701298581
t039,0.10394769005130043,0.1883199557154198,0.10845447589897078,0.714405711884262,0.9619142857142732
