filename,iou,dice,precision,recall,accuracy
t029,0.04136413641362316,0.0794422142404059,0.0461191247178657,0.2863234846168556,0.9717077922077796
t051,0.021627350158958423,0.04233901951742649,0.022108092926203863,0.49864253393213903,0.9676285714285588
t023,0.05805327136214781,0.10973600844768332,0.07043704587351131,0.2482323714881555,0.9726272727272601
t080,0.1499545788813103,0.26080087272175206,0.17046544220693605,0.5548175416128722,0.948959740259728
t076,0.18041918633630702,0.3056866381446713,0.22224595503812083,0.48944552243165196,0.9508922077921954
t053,0.015538917926255284,0.0306023090833111,0.01572495622028672,0.5677419354765453,0.9637974025973901
t081,0.003855655345969142,0.0076816927322889425,0.003879750952512806,0.38302752292699477,0.9439662337662215
t088,0.16126939598489326,0.2777467425603132,0.18805201177621278,0.531031695629276,0.9378740259740138
t020,0.11125945705380005,0.20024028834593502,0.13178703215596638,0.41666666666597224,0.9740649350649224
t021,0.026768735677006793,0.05214170386548953,0.027909104773510288,0.3958183129026978,0.9740779220779094
t062,0.1306099450626481,0.23104333308409186,0.15219460950062302,0.4794208893480047,0.9599233766233641
t022,0.0,0.0,0.0,0.0,0.9722194805194678
t077,0.1615931108718705,0.27822670323962523,0.1946980701389825,0.48727603219911236,0.9494233766233643
t040,0.08043335521992759,0.1488909146155618,0.08471645919775038,0.6140350877173746,0.9708987012986887
t054,0.10400489738051229,0.18841383335759862,0.11700739451931383,0.48345065148946614,0.9638844155844031
t012,0.0,0.0,0.0,0.0,0.9825103896103768
t025,0.06457056576957786,0.12130819289165638,0.06877956480602233,0.5134180790942323,0.9726441558441432
t044,0.13037731314582618,0.23067928138612,0.14833887800202875,0.5184772220444115,0.9718038961038835
t038,0.07731387753539963,0.14353083005348952,0.08903748020407837,0.3699506488752149,0.9686298701298576
t013,0.4765406628508996,0.6454826133007358,0.9784777261540185,0.4815885933347407,0.9795701298701172
t015,0.08670066692815855,0.1595667870035278,0.09246861924680665,0.5815789473662347,0.978836363636351
t050,0.0,0.0,0.0,0.0,0.9672519480519355
t079,0.13787074617543182,0.24233112001312584,0.1606636105653398,0.4928571428567761,0.9462064935064812
t052,0.46602091020901254,0.6357629785001788,0.9484842558181308,0.4781228433401404,0.9639168831168706
t055,0.16682421200164058,0.28594574964374503,0.19124131230842567,0.5664637520746358,0.9668038961038835
t014,0.03087079534735563,0.05989265674551116,0.03189347190644242,0.4905094905045903,0.9799818181818054
t078,0.010284563565312904,0.02035973613022155,0.010324909747289935,0.7246621621499212,0.9463844155844032
t039,0.08923076923073213,0.16384180790954198,0.10012130260329377,0.45065098697931405,0.9715532467532341
