filename,iou,dice,precision,recall,accuracy
t029,0.08463847559381212,0.1560676252932567,0.08658499949928683,0.7901309777618333,0.9635662337662212
t051,0.02244145706851083,0.04389778390413427,0.022611212758397933,0.7493212669615447,0.9531584415584292
t023,0.08914931122279521,0.1637044807432448,0.09707806057155656,0.5218803745451521,0.9637623376623251
t080,0.15654307436519888,0.27070859328109664,0.16394772877112507,0.7760883482708257,0.9321389610389489
t076,0.23761815717688192,0.3839926811011084,0.25121973338165393,0.8144293526190307,0.9422857142857021
t053,0.011606702809262789,0.02294706584491902,0.011694309266061255,0.6077419354760292,0.9479103896103773
t081,0.006362533206518914,0.012644614632554564,0.006367545212852206,0.8899082568603232,0.9213064935064815
t088,0.19360537519183968,0.32440432862615565,0.20535426298244347,0.7718953871019156,0.92767792207791
t020,0.15804853711551334,0.2729566715902656,0.16738375603858416,0.7391666666654347,0.9693168831168705
t021,0.022489350949381818,0.043989408649587294,0.023127180933988,0.4491708723832072,0.964832467532455
t062,0.13921880486643273,0.24441100212132716,0.14818723479098825,0.6970010341254426,0.9458792207792085
t022,0.03501650165015346,0.0676636586843316,0.03844620792113692,0.28188097768256676,0.9620272727272602
t077,0.19427856547119363,0.3253488274647925,0.2072678091576874,0.7561023110875382,0.937268831168819
t040,0.0934371174790203,0.1709053332567395,0.09407192062184981,0.9326441102727674,0.9624883116882992
t054,0.13528404092778942,0.23832633253125113,0.13794405759468006,0.8752433727708923,0.9514883116882993
t012,0.012005959162206639,0.023727052303418893,0.01232513157302311,0.3167630057766848,0.9707168831168705
t025,0.0779723127035566,0.1446647780924946,0.07941115488282555,0.8114406779632365,0.9647090909090784
t044,0.13436618916067145,0.2369009063291816,0.14061335797092941,0.7515132207697491,0.9605259740259615
t038,0.15011589605948822,0.26104481569868443,0.15267222928746155,0.8996527143101816,0.9638103896103771
t013,0.677980937560566,0.8080913464323484,0.9496412678226548,0.703265292396441,0.9870999999999872
t015,0.08920599157170726,0.16380003830677503,0.09119215184470411,0.803759398493219,0.9716506493506367
t050,0.006659695085033117,0.013231273920171344,0.0067212887098995365,0.42086956521007185,0.9531220779220655
t079,0.16748808802577778,0.2869204229894972,0.17678268984822912,0.7610863095232432,0.933968831168819
t052,0.6490403374146432,0.7871733913218948,0.9183448130814138,0.6887902987280512,0.9754688311688184
t055,0.16761511831930395,0.2871067969050856,0.1758107839235536,0.7824017708901135,0.9544090909090786
t014,0.022196462304644428,0.04342895543700137,0.022667485092939903,0.5164835164783568,0.9704220779220653
t078,0.0057671744351138945,0.011468209704404025,0.005793885601576889,0.5557432432338557,0.9263402597402477
t039,0.10329876902549777,0.18725439006287967,0.1077244126853297,0.7154556908846799,0.9615909090908966
