filename,iou,dice,precision,recall,accuracy
t012,0.017613740179054406,0.03461773261032261,0.017863761025862478,0.5572254335195697,0.9650870129870004
t013,0.6473983484296805,0.785964547125822,0.8115843392911805,0.7619127686045122,0.9839740259740132
t014,0.01893710176911724,0.03717030567684291,0.019258615696488828,0.531468531463222,0.964206493506481
t015,0.07822329761490555,0.14509665630104668,0.07931167420177362,0.8507518796960498,0.9653675324675199
t020,0.15048843823415653,0.261607910576026,0.15594566888769992,0.8113333333319811,0.9643116883116758
t021,0.019960802050348274,0.03914033168769352,0.020406905055480762,0.47728911319050266,0.9577883116882993
t022,0.03350131714579272,0.0648307197872043,0.03618929786574816,0.3108395324115015,0.9561636363636239
t023,0.07890768973025106,0.14627329192542798,0.08459304936088707,0.5400343970943244,0.9571584415584291
t025,0.07158082728422872,0.1335985591784808,0.07230352934328253,0.877471751409331,0.958141558441546
t029,0.0772364437104109,0.1433973834832013,0.07826402253644653,0.8547060615264859,0.9564623376623252
t038,0.13886167964114585,0.24386048301300473,0.13916300697490594,0.9846463169420862,0.9566142857142733
t039,0.09066058082959055,0.16624893651264316,0.0933457277867913,0.7591348173020598,0.9529103896103772
t040,0.07905683071061466,0.14652950328584946,0.07913019487846326,0.9884085213001617,0.9522688311688188
t044,0.12242824485646145,0.21814890246657653,0.12525099808647913,0.8445364765835545,0.9506428571428448
t050,0.009390147443565946,0.01860558569418955,0.009411525561538894,0.8052173912903441,0.9365662337662216
t051,0.020242272844421927,0.03968130586862813,0.02027604011517818,0.923981900444127,0.935820779220767
t052,0.6961404804672561,0.8208523863253142,0.8240823545776299,0.81764763876549,0.9764935064934938
t053,0.009352617351668407,0.018531912813993055,0.009408495434694441,0.6116129032179146,0.9347961038960917
t054,0.10248984504285721,0.18592433391324908,0.1049105853817966,0.8162348360029711,0.9380181818181696
t055,0.14420925199014195,0.2520679705033261,0.14738026056797313,0.8701715550626782,0.93940779220778
t062,0.13707280832092883,0.24109768049653552,0.13974280868718164,0.8776628748698265,0.9306116883116762
t076,0.22548653471095267,0.3679951240984246,0.22770700636939495,0.9585464808602584,0.9272792207792088
t077,0.19017278469736093,0.3195717246142851,0.19423141513656036,0.9009997403266028,0.9232441558441439
t078,0.007718862192763364,0.015319475465542784,0.007722381090526238,0.9442567567408064,0.9066740259740141
t079,0.1681660524604151,0.2879146369751464,0.17054135751577762,0.9235119047612176,0.9202649350649231
t080,0.14163607760879107,0.24812824399427585,0.1448490373786474,0.8645966709340072,0.9149662337662219
t081,0.005839885345369502,0.01161195818629581,0.005839885345369502,0.9999999999770642,0.9036064935064818
t088,0.19867435865960492,0.33149012861469535,0.2014812970685005,0.9344726055072256,0.9152155844155725
